Transient	Type	z	N_id	F090W	F115W	F150W	F200W	F277W	F356W	F444W	F090W_AB	F090W_ABerr	F115W_AB	F115W_ABerr	F150W_AB	F150W_ABerr	F200W_AB	F200W_ABerr	F277W_AB	F277W_ABerr	F356W_AB	F356W_ABerr	F444W_AB	F444W_ABerr	F090W_M	F115W_M	F150W_M	F200W_M	F277W_M	F356W_M	F444W_M	M_blue	M_IR	blue	ir	offset_arc	offset_kpc	r50_arc	r50_kpc	R_norm
AT2022aeis	II	1.771	203597.0	0.65	0.727	0.752	0.938	0.859	0.883	0.869	24.36	0.016	23.751	0.006	23.543	0.006	23.435	0.005	23.36	0.004	23.353	0.004	23.28	0.004	-20.22	-20.829	-21.038	-21.145	-21.221	-21.228	-21.301	-21.038	-21.221	0.752	0.859	0.084	0.728	0.208	1.802	0.404
AT2022aeiv	II	0.996	203278.0	0.76	0.795	0.648	0.648	0.548	0.563	0.550	21.188	0.002	20.898	0.002	20.613	0.002	20.306	0.002	20.079	0.002	19.96	0.002	20.19	0.001	-22.211	-22.5	-22.786	-23.092	-23.32	-23.439	-23.208	-22.211	-23.32	0.76	0.548	0.437	3.597	0.539	4.433	0.811
AT2022aeiw	II	0.665	199156.0	0.74	0.678	0.650	0.640	0.658	0.637	0.672	20.833	0.001	20.586	0.002	20.446	0.002	20.267	0.001	20.177	0.002	20.375	0.002	20.734	0.001	-21.688	-21.935	-22.075	-22.253	-22.344	-22.146	-21.786	-21.688	-22.344	0.74	0.658	0.432	3.115	0.635	4.574	0.681
AT2022aevh	II	4.82	129396.0	0.0	0.23	0.000	0.000	0.221	0.592	0.439	29.187	0.288	29.195	0.297	29.631	0.588	29.385	0.64	28.669	0.244	28.691	0.221	29.186	0.302	-17.199	-17.191	-16.755	-17.001	-17.717	-17.695	-17.2	-17.717	-17.2	0.221	0.439	0.049	0.321	0.091	0.595	0.539
AT2022aevj	Ibc	4.471	209839.0	0.0	0.0	0.384	0.001	0.089	0.125	0.101	27.178	0.034	26.901	0.03	26.807	0.03	26.432	0.02	25.839	0.016	25.959	0.014	26.084	0.012	-19.083	-19.36	-19.454	-19.829	-20.422	-20.302	-20.177	-20.422	-20.177	0.089	0.101	0.299	2.025	0.157	1.063	1.905
AT2022aevl	II	3.96	127777.0	0.632	0.14	0.000	0.143	0.152	0.309	0.62	28.898	0.197	28.835	0.173	28.801	0.153	28.698	0.168	28.181	0.058	28.654	0.092	28.377	0.081	-17.159	-17.221	-17.256	-17.359	-17.875	-17.402	-17.679	-17.875	-17.679	0.152	0.62	0.085	0.608	0.105	0.75	0.811
AT2022aevn	Ibc	3.58	280649.0	0.193	0.181	0.002	0.714	0.765	0.907	0.747	27.122	0.069	27.229	0.095	27.316	0.104	26.911	0.099	26.973	0.056	27.15	0.072	27.258	0.069	-18.761	-18.654	-18.567	-18.971	-18.91	-18.733	-18.625	-18.91	-18.625	0.765	0.747	0.119	0.881	0.106	0.787	1.119
AT2022aevp	Ibc	2.79	203861.0	0.814	0.948	0.957	0.760	0.617	0.381	0.427	26.048	0.104	25.203	0.037	24.252	0.018	23.742	0.01	23.267	0.007	22.997	0.007	22.72	0.004	-19.393	-20.237	-21.188	-21.698	-22.173	-22.443	-22.72	-21.698	-22.443	0.76	0.381	0.611	4.919	0.356	2.865	1.717
AT2022aevq	II	2.73	201806.0	0.0	0.055	0.000	0.078	0.452	0.137	0.267	28.1	0.064	28.053	0.058	27.574	0.045	27.307	0.032	27.235	0.022	27.3	0.023	27.364	0.029	-17.3	-17.348	-17.826	-18.094	-18.166	-18.101	-18.037	-18.094	-18.101	0.078	0.137	0.062	0.5	0.105	0.85	0.588
AT2022aevr	Unclassified	2.62	111073	-	-	-	0.566	0.0	0.242	-	31.483	0.982	30.34	0.335	29.872	0.235	30.133	0.196	29.601	0.124	29.564	0.134	0.566	0.242	-	-13.842	-14.495	-15.453	-15.192	-15.724	-15.761	-15.453	-15.724	0.566	0.242	0.061	0.497	0.097	0.793	0.627
AT2022aevs	Ibc	2.617	202086.0	0.322	0.557	0.667	0.593	0.653	0.613	0.546	23.848	0.03	23.578	0.015	22.941	0.007	22.705	0.009	22.554	0.007	22.322	0.004	22.199	0.004	-21.476	-21.745	-22.382	-22.618	-22.77	-23.002	-23.124	-22.618	-23.002	0.593	0.613	0.23	1.883	0.43	3.517	0.535
AT2022aevt	II	2.617	202378.0	0.0	0.0	0.197	0.179	0.235	0.24	0.208	25.467	0.035	25.28	0.018	24.826	0.013	24.682	0.013	24.69	0.01	24.502	0.009	24.446	0.006	-19.857	-20.043	-20.497	-20.641	-20.633	-20.822	-20.877	-20.641	-20.822	0.179	0.24	0.469	3.838	0.296	2.421	1.585
AT2022aevu	II	2.56	...	0.400	0.360	0.320	0.530	0.930	0.470	0.590	26.89	0.0	26.817	0.0	26.503	0.0	26.437	0.0	26.185	0.0	26.254	0.0	26.288	0.0	-18.393	-18.466	-18.78	-18.846	-19.098	-19.029	-18.995	-18.846	-19.029	0.53	0.47	0.163	1.341			
AT2022aevv	Unclassified	2.48	422027.0	0.030	0.250	0.070	0.340	0.360	0.160	0.420	27.858	0.107	27.29	0.071	26.996	0.062	26.948	0.043	26.964	0.051	27.03	0.051	27.052	0.053	-17.367	-17.934	-18.228	-18.276	-18.26	-18.194	-18.172	-18.228	-18.194	0.07	0.16	0.074	0.616			
AT2022aevx	II	2.315	217137.0	0.774	0.797	0.848	0.841	0.851	0.799	0.832	26.209	0.061	25.442	0.028	24.592	0.014	24.027	0.009	23.607	0.007	23.254	0.004	22.928	0.003	-18.886	-19.654	-20.504	-21.069	-21.488	-21.842	-22.167	-20.504	-21.842	0.848	0.799	0.259	2.173	0.271	2.275	0.955
AT2022aevy	II	2.29	206641.0	0.0	0.0	0.000	0.000	0.000	0.0	0.000	28.284	0.288	28.159	0.251	27.469	0.114	27.261	0.093	27.335	0.071	27.415	0.075	27.189	0.063	-16.792	-16.916	-17.606	-17.814	-17.74	-17.661	-17.887	-17.606	-17.661	0.0	0.0	0.372	3.13	0.244	2.052	1.525
AT2022aevz	II	2.02	286357	0.0	0.047	-	-	-	-	-	29.702	0.306	30.001	0.286	29.429	0.174	29.238	0.17	29.102	0.116	28.887	0.099	29.305	0.162	-15.135	-14.835	-15.408	-15.598	-15.735	-15.95	-15.531	-15.408	-15.95	0.0	0.047	0.049	0.418	0.121	1.037	0.403
AT2022aewa	II	2.01	85705.0	0.31	0.23	0.169	0.183	0.148	0.207	0.163	26.721	0.039	26.19	0.024	25.849	0.018	25.823	0.016	25.845	0.02	25.817	0.013	25.761	0.015	-18.106	-18.638	-18.978	-19.004	-18.982	-19.01	-19.067	-18.978	-19.01	0.169	0.207	0.339	2.904	0.198	1.698	1.71
AT2022aewb	II	2.0	105068.0	0.0	0.344	0.552	0.635	0.778	0.923	0.720	29.062	0.123	28.049	0.051	27.42	0.034	26.966	0.02	27.107	0.015	27.051	0.015	27.188	0.016	-15.755	-16.769	-17.397	-17.851	-17.71	-17.767	-17.629	-17.397	-17.767	0.552	0.923	0.019	0.161	0.181	1.553	0.104
AT2022aewd	II	1.766	203195.0	0.173	0.159	0.187	0.191	0.218	0.175	0.218	23.421	0.018	22.973	0.015	22.825	0.016	22.783	0.016	22.81	0.02	22.787	0.018	22.727	0.01	-21.154	-21.602	-21.751	-21.792	-21.766	-21.789	-21.849	-21.751	-21.766	0.187	0.218	0.445	3.861	0.218	1.889	2.044
AT2022aewe	II	1.62	216898.0	0.598	0.779	0.814	0.818	0.848	0.838	0.885	26.024	0.041	25.257	0.019	25.118	0.022	25.014	0.016	24.903	0.011	24.915	0.013	24.842	0.009	-18.38	-19.147	-19.286	-19.391	-19.501	-19.489	-19.562	-19.286	-19.501	0.814	0.848	0.07	0.612	0.225	1.955	0.313
AT2022aewf	II	1.567	193831.0	0.58	0.721	0.546	0.731	0.611	0.71	0.591	23.954	0.012	23.261	0.01	23.006	0.005	22.674	0.004	22.266	0.003	22.051	0.003	21.875	0.003	-20.383	-21.076	-21.332	-21.664	-22.072	-22.287	-22.463	-21.332	-22.072	0.546	0.611	0.328	2.852	0.311	2.702	1.056
