GRB,R_phys,R_phys_err,R_norm,R_norm_err,z,Rh,r50_kpc,Flight,Ratio_leq_0.1
040924,2.197,0.116,1.521,0.08,0.859,0.188,1.486,0.783,True
050315,0.953,0.474,0.481,0.239,1.949,0.236,2.03,0.693,True
050401,0.638,0.397,0.483,0.3,2.9,0.17,1.353,0.799,True
050406,1.579,1.788,1.609,1.822,2.44,0.121,1.005,0.11,False
050408,1.263,0.239,0.545,0.103,1.236,0.278,2.377,0.724,True
050416A,0.26,0.09,0.234,0.081,0.654,0.16,1.145,0.896,True
050525,0.185,0.046,0.232,0.057,0.606,0.119,0.823,0.914,True
050820,3.53,0.081,3.808,0.087,2.612,0.116,0.949,0.606,True
050824,3.597,0.41,1.177,0.134,0.83,0.402,3.143,0.324,True
050904,0.774,0.205,0.928,0.246,6.29,0.15,0.852,0.374,True
050908,0.275,0.405,0.544,0.802,3.344,0.068,0.518,0.316,False
051016B,2.023,1.532,1.127,0.853,0.936,0.228,1.846,0.329,False
051022,1.283,0.932,0.512,0.372,0.8,0.334,2.58,0.556,False
060115,2.042,0.471,2.239,0.517,3.53,0.125,0.933,0.081,False
060124,0.278,0.291,0.197,0.206,2.296,0.172,1.446,0.882,True
060206,2.021,0.888,3.211,1.411,4.048,0.091,0.644,0.032,False
060218,0.115,0.03,0.287,0.075,0.033,0.606,0.413,0.872,True
060223,0.749,1.186,0.532,0.844,4.41,0.211,1.438,0.292,False
060418,3.419,0.04,3.425,0.04,1.49,0.118,1.024,0.0,True
060502A,0.435,0.198,0.317,0.144,1.51,0.162,1.407,0.689,True
060505,7.16,0.062,3.605,0.031,0.089,1.195,2.054,0.987,True
060605,0.18,0.294,0.232,0.379,3.78,0.109,0.793,0.528,False
060614,0.801,0.031,1.086,0.042,0.125,0.329,0.762,0.459,True
060719,1.743,0.684,0.837,0.328,1.532,0.246,2.137,0.581,False
060729,2.149,0.265,1.098,0.135,0.54,0.308,2.016,0.246,True
060912A,5.155,1.203,0.918,0.214,0.937,0.713,5.775,0.525,True
061007,0.184,0.862,0.059,0.277,1.261,0.373,3.197,0.778,True
061110A,0.992,0.297,0.765,0.229,0.758,0.176,1.334,0.419,True
061110B,0.449,0.22,0.586,0.288,3.44,0.104,0.784,0.393,True
061222A,0.368,0.368,0.229,0.229,2.088,0.193,1.647,0.955,True
070208,0.82,0.327,0.27,0.108,1.165,0.368,3.12,0.928,True
070306,0.76,0.38,0.43,0.215,1.496,0.209,1.814,0.798,True
070318,0.827,0.458,0.529,0.293,0.836,0.205,1.606,0.781,True
070721B,0.327,0.387,0.793,0.939,3.626,0.057,0.421,0.211,False
070802,1.069,0.39,0.379,0.138,2.45,0.348,2.889,0.692,True
071010A,0.106,0.59,0.082,0.457,0.98,0.162,1.327,0.867,False
071010B,0.86,0.195,0.424,0.096,0.947,0.257,2.087,0.825,True
071112C,1.533,0.206,0.508,0.068,0.823,0.398,3.103,0.774,True
071122,0.616,0.433,0.191,0.134,1.14,0.393,3.321,0.951,True
080207,6.402,3.65,1.126,0.642,2.086,0.683,5.829,0.207,False
080319B,1.697,0.929,1.465,0.802,0.937,0.147,1.191,0.598,True
080319C,0.655,0.167,0.538,0.137,1.95,0.145,1.247,0.839,True
080325,5.89,0.635,1.574,0.17,1.78,0.443,3.838,0.134,True
080430,0.8,0.361,0.384,0.173,0.767,0.282,2.147,0.645,True
080520,2.181,0.865,1.155,0.458,1.545,0.223,1.937,0.374,False
080603A,0.753,0.255,0.44,0.149,1.688,0.202,1.754,0.88,True
080605,0.682,0.266,0.407,0.159,1.64,0.198,1.72,0.82,True
080607,3.482,0.32,1.083,0.099,3.036,0.419,3.291,0.544,True
080707,0.739,0.449,0.338,0.205,1.23,0.263,2.248,0.836,True
080805,3.944,0.396,1.695,0.17,1.505,0.275,2.388,0.517,True
080916A,0.075,0.432,0.044,0.254,0.689,0.24,1.754,0.93,True
080928,14.437,0.245,3.858,0.066,1.692,0.442,3.837,0.009,True
081007,0.7,0.182,0.402,0.105,0.53,0.277,1.796,0.792,True
081008,13.902,0.236,7.027,0.119,1.969,0.236,2.028,0.0,True
081109,1.364,0.486,0.314,0.112,0.979,0.545,4.464,0.886,True
081121,0.342,0.226,0.214,0.142,2.512,0.198,1.635,0.973,True
081221,3.195,0.609,0.949,0.181,2.26,0.409,3.448,0.761,True
090113,1.573,0.888,0.633,0.357,1.749,0.294,2.549,0.224,False
090407,1.451,3.463,0.511,1.22,1.449,0.336,2.913,0.245,False
090418A,0.812,1.785,0.448,0.984,1.608,0.214,1.86,0.367,False
090424,2.594,0.235,1.0,0.09,0.544,0.407,2.674,0.74,True
090618,4.402,0.292,1.335,0.089,0.54,0.519,3.397,0.26,True
091127,1.335,0.296,0.538,0.119,0.49,0.411,2.558,0.833,True
100615A,2.073,2.694,2.963,3.85,1.398,0.083,0.718,0.051,False
100621A,0.284,0.439,0.17,0.263,0.542,0.262,1.718,0.914,True
110731A,1.423,0.082,1.502,0.087,2.83,0.121,0.97,0.029,True
111215A,2.844,0.763,1.624,0.435,2.06,0.21,1.795,0.012,False
120119A,0.099,0.146,0.058,0.086,1.728,0.202,1.752,1.0,True
120711A,0.137,0.133,0.106,0.103,1.405,0.153,1.324,0.978,True
130925A,0.765,0.051,0.439,0.029,0.347,0.355,1.799,0.852,True
