	GRB	R_phys	R_phys_err	R_norm	R_norm_err	z	Rh	R50_kpc
0	040924	2.197	0.116	1.521	0.08	0.859	0.188	1.486
1	050315	0.953	0.474	0.481	0.239	1.949	0.236	2.03
2	050401	0.638	0.397	0.483	0.3	2.9	0.17	1.353
3	050406	1.579	1.788	1.609	1.822	2.44	0.121	1.005
4	050408	1.263	0.239	0.545	0.103	1.236	0.278	2.377
5	050416A	0.26	0.09	0.234	0.081	0.654	0.16	1.145
6	050525	0.185	0.046	0.232	0.057	0.606	0.119	0.823
7	050820	3.53	0.081	3.808	0.087	2.612	0.116	0.949
8	050824	3.597	0.41	1.177	0.134	0.83	0.402	3.143
9	050904	0.774	0.205	0.928	0.246	6.29	0.15	0.852
10	050908	0.275	0.405	0.544	0.802	3.344	0.068	0.518
11	051016B	2.023	1.532	1.127	0.853	0.936	0.228	1.846
12	051022	1.283	0.932	0.512	0.372	0.8	0.334	2.58
13	060115	2.042	0.471	2.239	0.517	3.53	0.125	0.933
14	060124	0.278	0.291	0.197	0.206	2.296	0.172	1.446
15	060206	2.021	0.888	3.211	1.411	4.048	0.091	0.644
16	060218	0.115	0.03	0.287	0.075	0.033	0.606	0.413
17	060223	0.749	1.186	0.532	0.844	4.41	0.211	1.438
18	060418	3.419	0.04	3.425	0.04	1.49	0.118	1.024
19	060502A	0.435	0.198	0.317	0.144	1.51	0.162	1.407
20	060505	7.16	0.062	3.605	0.031	0.089	1.195	2.054
21	060605	0.18	0.294	0.232	0.379	3.78	0.109	0.793
22	060614	0.801	0.031	1.086	0.042	0.125	0.329	0.762
23	060719	1.743	0.684	0.837	0.328	1.532	0.246	2.137
24	060729	2.149	0.265	1.098	0.135	0.54	0.308	2.016
25	060912A	5.155	1.203	0.918	0.214	0.937	0.713	5.775
26	061007	0.184	0.862	0.059	0.277	1.261	0.373	3.197
27	061110A	0.992	0.297	0.765	0.229	0.758	0.176	1.334
28	061110B	0.449	0.22	0.586	0.288	3.44	0.104	0.784
29	061222A	0.368	0.368	0.229	0.229	2.088	0.193	1.647
30	070208	0.82	0.327	0.27	0.108	1.165	0.368	3.12
31	070306	0.76	0.38	0.43	0.215	1.496	0.209	1.814
32	070318	0.827	0.458	0.529	0.293	0.836	0.205	1.606
33	070721B	0.327	0.387	0.793	0.939	3.626	0.057	0.421
34	070802	1.069	0.39	0.379	0.138	2.45	0.348	2.889
35	071010A	0.106	0.59	0.082	0.457	0.98	0.162	1.327
36	071010B	0.86	0.195	0.424	0.096	0.947	0.257	2.087
37	071112C	1.533	0.206	0.508	0.068	0.823	0.398	3.103
38	071122	0.616	0.433	0.191	0.134	1.14	0.393	3.321
39	080207	6.402	3.65	1.126	0.642	2.086	0.683	5.829
40	080319B	1.697	0.929	1.465	0.802	0.937	0.147	1.191
41	080319C	0.655	0.167	0.538	0.137	1.95	0.145	1.247
42	080325	5.89	0.635	1.574	0.17	1.78	0.443	3.838
43	080430	0.8	0.361	0.384	0.173	0.767	0.282	2.147
44	080520	2.181	0.865	1.155	0.458	1.545	0.223	1.937
45	080603A	0.753	0.255	0.44	0.149	1.688	0.202	1.754
46	080605	0.682	0.266	0.407	0.159	1.64	0.198	1.72
47	080607	3.482	0.32	1.083	0.099	3.036	0.419	3.291
48	080707	0.739	0.449	0.338	0.205	1.23	0.263	2.248
49	080805	3.944	0.396	1.695	0.17	1.505	0.275	2.388
50	080916A	0.075	0.432	0.044	0.254	0.689	0.24	1.754
51	080928	14.437	0.245	3.858	0.066	1.692	0.442	3.837
52	081007	0.7	0.182	0.402	0.105	0.53	0.277	1.796
53	081008	13.902	0.236	7.027	0.119	1.969	0.236	2.028
54	081109	1.364	0.486	0.314	0.112	0.979	0.545	4.464
55	081121	0.342	0.226	0.214	0.142	2.512	0.198	1.635
56	081221	3.195	0.609	0.949	0.181	2.26	0.409	3.448
57	090113	1.573	0.888	0.633	0.357	1.749	0.294	2.549
58	090407	1.451	3.463	0.511	1.22	1.449	0.336	2.913
59	090418A	0.812	1.785	0.448	0.984	1.608	0.214	1.86
60	090424	2.594	0.235	1.0	0.09	0.544	0.407	2.674
61	090618	4.402	0.292	1.335	0.089	0.54	0.519	3.397
62	091127	1.335	0.296	0.538	0.119	0.49	0.411	2.558
63	100615A	2.073	2.694	2.963	3.85	1.398	0.083	0.718
64	100621A	0.284	0.439	0.17	0.263	0.542	0.262	1.718
65	110731A	1.423	0.082	1.502	0.087	2.83	0.121	0.97
66	111215A	2.844	0.763	1.624	0.435	2.06	0.21	1.795
67	120119A	0.099	0.146	0.058	0.086	1.728	0.202	1.752
68	120711A	0.137	0.133	0.106	0.103	1.405	0.153	1.324
69	130427A	4.013	0.033	1.306	0.011	0.34	0.634	3.171
70	130925A	0.765	0.051	0.439	0.029	0.347	0.355	1.799
