Transient	Type	Flight
1954B	Ia	0.69
1959C	Ia	0.45
1960I	I	0.33
1960M	I	0.42
1960N	I	0.46
1960R	Ia	0.27
1961F	IIB-L	0.97
1961H	Ia	0.80
1962A	Ia	0.32
1962B	I	0.54
1963I	Ia	0.79
1963K	I	0.33
1963M	I	0.49
1963P	Ia	0.18
1964L	Ic	0.97
1971G	I	0.20
1979B	Ia	0.10
1982W	Ia	0.13
1983G	Ia	0.76
1983U	Ia	0.63
1984A	Ia	0.32
1984E	IIL	0.23
1984L	Ib	0.95
1985B	Ia	0.36
1985F	Ibc	0.99
1985G	IIP	0.80
1986A	Ia	0.72
1986I	IIP	0.78
1987F	IIn	0.66
1987K	IIb	0.61
1987N	Ia	0.83
1988Q	II	0.59
1989A	Ia	0.22
1989E	Ib	0.41
1989F	II	0.07
1989K	II	0.03
1989N	II	0.73
1990B	Ic	0.87
1990G	Ia	0.96
1990H	II	0.67
1990N	Ia	0.07
1991F	Ia	0.26
1991L	Ibc	0.40
1991N	Ic	0.92
1991S	Ia	0.20
1991ak	Ia	0.47
1991am	Ia	0.54
1991bc	Ia	0.61
1992G	Ia	0.85
1992I	II	0.00
1992P	Ia	0.28
1993G	II	0.28
1993I	Ia	0.00
1993Z	Ia	0.54
1994D	Ia	0.81
1994J	Ia	0.58
1994M	Ia	0.26
1994O	Ia	0.61
1994Q	Ia	0.43
1994S	Ia	0.40
1994W	IInP	0.48
1994Y	IIn	0.64
1994ae	Ia	0.18
1994ak	IIn	0.23
1995F	Ic	0.87
1995H	II	0.87
1995J	II	0.24
1995L	Ia	0.40
1995P	Ia	0.66
1995R	Ia	0.99
1995V	II	0.53
1995al	Ia	0.35
1996B	II	0.71
1996V	Ia	0.02
1996ai	Ia	0.80
1996an	II	0.95
1996aq	Ic	0.88
1996bk	Ia	0.55
1996cc	II	0.37
1997bn	II	0.94
1997co	II	0.46
1997dd	IIb	0.04
1997ef	Ic	0.90
1997ei	Ic	0.86
1998C	II	0.26
1998R	II	0.67
1998aa	Ia	0.94
1998ab	Ia	0.41
1998aq	Ia	0.31
1998cc	Ib	0.33
1998cs	Ia	0.60
1998ct	IIn	0.93
1998dk	Ia	0.72
1998dl	II	0.40
1999Z	IIn	0.78
1999aa	Ia	0.63
1999ap	II	0.70
1999bc	Ic	0.64
1999bu	Ic	0.92
1999cb	Ia	0.11
1999cc	Ia	0.47
1999cd	II	0.34
1999cf	Ia	0.00
1999df	II	0.85
1999dg	Ia	0.63
1999eh	Ib	0.27
1999ew	II	0.61
1999gj	Ia	0.26
1999gk	II	0.47
1999gq	II	0.26
2000J	II	0.00
2000K	Ia	0.02
2000O	Ia	0.15
2000bs	II	0.06
2000ck	II	0.11
2000cm	Ia	0.67
2000cp	Ia	0.61
2000cr	Ic	0.78
2000cs	II	0.54
2000db	II	0.64
2000df	Ia	0.20
2000du	II	0.43
2000dv	Ib	0.55
2000ez	II	0.42
2000fn	Ib	0.34
2001D	II	0.19
2001F	Ia	0.78
2001H	II	0.92
2001J	II	0.68
2001K	II	0.45
2001N	Ia	0.83
2001R	II	0.23
2001V	Ia	0.07
2001ab	II	0.23
2001ad	IIb	0.23
2001ae	II	0.67
2001ax	II	0.31
2001ay	Ia	0.10
2001bk	II	0.07
2001cg	Ia	0.39
2001cj	Ia	0.00
2001ck	Ia	0.34
2001cm	II	0.28
2001co	Ibc	0.24
2001dq	Ic	0.66
2001em	Ic	0.57
2001fe	Ia	0.53
2001gb	Ia	0.25
2001hg	II	0.46
2002G	Ia	0.24
2002I	Ia	0.36
2002bf	Ia	0.73
2002bl	Ic	0.33
2002bo	Ia	0.49
2002bz	Ia	0.73
2002ca	II	0.36
2002cg	Ic	0.84
2002df	Ia	0.09
2002dg	Ib	0.14
2002ea	IIn	0.65
2002ew	II	0.28
2002ha	Ia	0.39
2002hm	II	0.84
2002hn	Ic	0.96
2002ho	Ic	0.62
2002ji	Ibc	0.25
2003A	Ibc	0.65
2003I	Ib	0.33
2003J	II	0.58
2003Y	Ia	0.20
2003ab	II	0.48
2003ag	Ia	0.31
2003aq	IIP	0.58
2003au	Ia	0.74
2003bk	II	0.68
2003bm	Ic	0.19
2003cn	II	0.04
2003cq	Ia	0.21
2003da	II	0.41
2003dg	Ibc	0.86
2003du	Ia	0.43
2003ej	II	0.67
2003gm	II	0.71
2003gs	Ia	0.65
2003hi	II	0.22
2003ia	Ia	0.50
2003ic	Ia	0.69
2003jb	Ia	0.31
2003je	II	0.35
2003jz	Ia	0.64
2003ky	II	0.21
2003ld	II	0.78
2004C	Ic	0.69
2004G	II	0.34
2004H	Ia	0.65
2004I	II	0.71
2004T	II	0.56
2004W	Ia	0.25
2004Z	II	0.20
2004ak	II	0.12
2004ap	Ia	0.08
2004aq	II	0.26
2004at	Ia	0.01
2004bj	Ia	0.39
2004bn	II	0.46
2004cm	II	1.00
2004cn	Ia	0.94
2004cq	Ia	1.00
2004ct	Ia	0.57
2004dg	II	0.42
2004di	Ia	0.10
2004dt	Ia	0.77
2004dv	II	0.01
2004eb	II	0.35
2004el	II	0.14
2004es	II	0.39
2004ey	Ia	0.66
2004ez	II	0.14
2004gk	Ic	0.75
2004gl	Ia	0.65
2004gu	Ia	0.54
2004gv	Ibc	0.66
2004hu	Ia	0.49
2004ib	Ic	0.85
2004ie	Ia	0.22
2005E	Ibc	0.00
2005G	Ia	0.14
2005H	II	0.63
2005J	II	0.28
2005O	Ib	0.61
