Name	z	Type	Mass	Mass_e	SFR	SFR_e	Sigma_M	Sigma_Merr	Sigma_SFR	SigmaSFR_err	r50_kpc	R50_err
GRB010921	0.451	GRB	9.69	0.09	0.35	0.19	8.53	0.09	-0.81	0.19	2.05	0.02
GRB011121	0.362	GRB	9.66	0.17	0.32	0.18	6.86	0.17	-2.48	0.18	11.04	0.64
GRB021211	1.006	GRB	8.62	0.54	-0.59	0.20	7.94	0.54	-1.26	0.20	0.93	0.02
GRB030329	0.168	GRB	8.03	0.12	-0.91	0.20	7.99	0.12	-0.94	0.20	0.67	0.03
GRB050416A	0.653	GRB	9.19	0.19	0.18	0.16	7.99	0.19	-1.02	0.16	2.17	0.12
GRB051022	0.807	GRB	9.72	0.05	1.25	0.09	8.01	0.05	-0.45	0.09	4.88	0.44
GRB060218	0.034	GRB	7.72	0.19	-1.11	0.24	7.96	0.19	-0.87	0.24	0.31	0.00
GRB090417B	0.345	GRB	10.14	0.14	-0.27	0.29	8.41	0.14	-2.00	0.29	3.45	0.06
GRB970508	0.835	GRB	8.62	0.24	-0.26	0.17	8.46	0.24	-0.42	0.17	0.68	0.01
GRB970828	0.960	GRB	9.62	0.52	0.23	0.25	8.65	0.52	-0.73	0.25	1.66	0.80
GRB980613	1.097	GRB	9.00	0.34	0.68	0.18	8.42	0.34	0.10	0.18	1.03	0.19
GRB980703	0.966	GRB	10.00	0.15	0.98	0.16	9.06	0.15	0.03	0.16	1.37	0.04
GRB990712	0.433	GRB	9.37	0.05	-0.22	0.09	8.37	0.05	-1.21	0.09	2.25	0.08
GRB991208	0.706	GRB	8.91	0.25	-0.12	0.17	9.09	0.25	0.06	0.17	0.33	0.02
PTF09awk	0.062	Ib	9.53	0.07	0.16	0.12	8.56	0.07	-0.81	0.12	1.61	0.05
PTF09axc	0.115	II	9.99	0.06	-0.19	0.18	8.87	0.06	-1.32	0.18	1.51	0.07
PTF09axi	0.064	II	9.33	0.09	-0.28	0.15	7.42	0.09	-2.18	0.15	4.10	0.15
PTF09bce	0.023	II	10.95	0.03	0.70	0.07	9.17	0.03	-1.08	0.07	4.46	0.03
