GRB,z,mag_val,mag_err,upper_limit,lower_limit,Dark
050315,1.95,-21.29,0.08,False,False,False
050318,1.4436,-18.9,0.0,True,False,False
050319,3.2425,-21.02,0.12,False,False,False
050401,2.8983,-20.89,0.39,False,False,True
050525A,0.606,-17.64,0.0,True,False,False
050730,3.9693,-20.54,0.0,True,False,False
050802,1.7102,-19.6,0.29,False,False,False
050803,4.3,-20.66,0.42,False,False,True
050814,5.3,-22.02,0.11,False,False,False
050820A,2.6147,-20.42,0.28,False,False,False
050822,1.434,-21.5,0.08,False,False,False
050922B,4.9,-21.78,0.22,False,False,False
050922C,2.1995,-19.61,0.0,True,False,False
051001,2.4296,-21.94,0.08,False,False,True
051006,1.059,-22.97,0.01,False,False,True
060115,3.5328,-20.41,0.31,False,False,False
060202,0.785,-20.23,0.04,False,False,True
060204B,2.3393,-22.32,0.05,False,False,False
060210,3.9122,-22.62,0.06,False,False,True
060218,0.0331,-15.01,0.04,False,False,False
060306,1.559,-22.73,0.02,False,False,True
060502A,1.5026,-19.53,0.0,True,False,False
060510B,4.9,-21.22,0.17,False,False,False
060522,5.11,-20.07,0.0,True,False,False
060526,3.2213,-20.17,0.29,False,False,False
060607A,3.0749,-20.52,0.0,True,False,False
060707,3.424,-21.66,0.13,False,False,False
060714,2.7108,-20.11,0.26,False,False,False
060719,1.532,-21.47,0.06,False,False,True
060729,0.5428,-17.95,0.19,False,False,False
060814,1.9229,-23.25,0.03,False,False,True
060908,1.8836,-19.92,0.2,False,False,False
060912A,0.937,-21.65,0.03,False,False,False
060927,5.467,-20.78,0.0,True,False,False
061007,1.2622,-20.13,0.15,False,False,False
061021,0.3463,-16.22,0.0,True,False,False
061110A,0.7578,-18.38,0.29,False,False,False
061110B,3.4344,-20.52,0.0,True,False,False
061121,1.3145,-22.43,0.01,False,False,False
061202,2.253,-21.75,0.06,False,False,False
061222A,2.088,-20.79,0.08,False,False,True
070110,2.3521,-19.95,0.0,True,False,False
070129,2.3384,-22.05,0.03,False,False,False
070223,1.6295,-20.77,0.08,False,False,False
070306,1.4959,-22.79,0.03,False,False,True
070318,0.84,-18.67,0.0,True,False,False
070328,2.0627,-21.71,0.06,False,False,False
070419B,1.9588,-21.43,0.09,False,False,False
070508,0.82,-20.46,0.07,False,False,True
070521,2.0865,-22.92,0.04,False,False,True
070721B,3.6298,-20.39,0.0,True,False,False
070808,1.35,-20.41,0.1,False,False,True
071020,2.1462,-20.54,0.0,True,False,False
071021,2.452,-23.05,0.05,False,False,True
071025,4.8,-22.01,0.15,False,False,True
071112C,0.8227,-19.34,0.11,False,False,False
080205,2.72,-21.55,0.13,False,False,False
080207,2.0858,-23.87,0.02,False,False,True
080210,2.6419,-20.67,0.0,True,False,False
080310,2.4274,-21.29,0.25,False,False,False
080319A,2.0265,-22.16,0.03,False,False,False
080319B,0.9382,-18.64,0.22,False,False,False
080325,1.78,-23.45,0.02,False,False,True
080411,1.0301,-18.75,0.0,True,False,False
080413A,2.433,-20.99,0.0,True,False,False
080413B,1.1014,-20.33,0.09,False,False,False
080430,0.767,-18.22,0.34,False,False,False
080603B,2.6892,-19.89,0.24,False,False,False
080605,1.6403,-22.77,0.1,False,False,True
080607,3.0368,-22.58,0.06,False,False,True
080710,0.8454,-19.47,0.0,True,False,False
080721,2.5914,-20.96,0.0,True,False,False
080804,2.2045,-20.19,0.23,False,False,False
080805,1.5042,-21.5,0.08,False,False,False
080810,3.3604,-22.15,0.07,False,False,False
080916A,0.6887,-19.73,0.1,False,False,False
080928,1.6919,-20.24,0.0,True,False,False
081008,1.967,-19.98,0.0,True,False,False
081029,3.8479,-20.35,0.0,True,False,False
081109A,0.9787,-22.51,0.02,False,False,True
081118,2.58,-19.98,0.41,False,False,False
081121,2.512,-20.11,0.34,False,False,False
081210,2.0631,-22.2,0.04,False,False,False
081221,2.26,-23.22,0.03,False,False,True
081222,2.77,-20.9,0.21,False,False,False
090313,3.375,-22.19,0.0,True,False,False
090404,3.0,-23.38,0.04,False,False,True
090417B,0.345,-20.05,0.02,False,False,True
090418A,1.608,-20.95,0.11,False,False,False
090424,0.544,-20.66,0.03,False,False,False
090516A,4.109,-23.15,0.04,False,False,False
090519,3.85,-20.46,0.0,True,False,False
090530,1.266,-19.51,0.0,True,False,False
090618,0.54,-19.36,0.07,False,False,False
090709A,1.8,-20.98,0.09,False,False,True
090715B,3.0,-22.07,0.06,False,False,False
090812,2.452,-20.35,0.0,True,False,False
090814A,0.696,-19.58,0.09,False,False,False
090926B,1.24,-22.38,0.02,False,False,True
091018,0.971,-21.01,0.04,False,False,False
091029,2.752,-21.34,0.0,True,False,False
091109A,3.076,-20.08,0.35,False,False,False
091127,0.49,-18.57,0.12,False,False,False
091208B,1.0633,-18.26,0.0,True,False,False
100615A,1.398,-20.21,0.14,False,False,True
100621A,0.542,-20.65,0.03,False,False,True
100728B,2.106,-20.13,0.0,True,False,False
100814A,1.44,-20.76,0.07,False,False,False
110205A,2.22,-21.17,0.1,False,False,False
110709B,2.09,-20.03,0.31,False,False,True
120119A,1.728,-21.59,0.07,False,False,True
